Experiment,Variant,Task,Acc.,Macro-F1,Interpretation
Quality gate,G2 / main,Density,12.77 ± 0.06,23.17 ± 4.47,Predefined main setting
Quality gate,G3,Density,19.28 ± 4.26,39.84 ± 3.60,Best density gate in the audited table
Quality gate,G2 / main,Location,98.47 ± 0.19,96.63 ± 0.33,Predefined main setting
Quality gate,G1,Location,99.75 ± 0.09,99.31 ± 0.22,Best location gate in the audited table
Quality gate,G5,Location,90.11 ± 0.47,67.49 ± 2.11,Over-strict gate hurts location performance
Aggregation,Weighted vote / main,Density,12.77 ± 0.06,23.17 ± 4.47,Predefined weighted aggregation
Aggregation,Uniform vote,Density,12.75 ± 0.07,23.24 ± 8.34,Similar mean but higher variance
Aggregation,Weighted vote / main,Location,98.47 ± 0.19,96.63 ± 0.33,Predefined weighted aggregation
Aggregation,Uniform vote,Location,98.41 ± 0.18,96.53 ± 0.39,Nearly unchanged from weighted vote
