Method,Task,Train Samples,Train Time / seed (s),Eval Time / seed (s),Best Epoch,Peak GPU Memory (GB)
TF-IDF + LR,Density,36038.0 ± 0.0,47.3 ± 1.2,2.9 ± 0.2,—,0.00 ± 0.00
TF-IDF + LR,Has-size,168433.0 ± 0.0,12.6 ± 2.2,4.2 ± 0.5,—,0.00 ± 0.00
TF-IDF + LR,Location,131233.0 ± 0.0,112.8 ± 3.9,4.1 ± 0.4,—,0.00 ± 0.00
TF-IDF + SVM,Density,36038.0 ± 0.0,56.3 ± 2.3,2.8 ± 0.2,—,0.00 ± 0.00
TF-IDF + SVM,Has-size,168433.0 ± 0.0,19.3 ± 1.1,4.1 ± 0.5,—,0.00 ± 0.00
TF-IDF + SVM,Location,131233.0 ± 0.0,290.1 ± 11.7,4.2 ± 0.3,—,0.00 ± 0.00
Vanilla PubMedBERT,Density,36038.0 ± 0.0,343.1 ± 79.2,26.8 ± 0.3,3.0 ± 1.4,9.25 ± 0.01
Vanilla PubMedBERT,Has-size,168433.0 ± 0.0,1865.0 ± 366.1,48.2 ± 2.2,5.0 ± 1.6,6.14 ± 0.01
Vanilla PubMedBERT,Location,131233.0 ± 0.0,843.7 ± 227.6,78.9 ± 1.1,1.8 ± 1.3,6.14 ± 0.02
MWS-CFE (Ours),Density,36038.0 ± 0.0,271.7 ± 105.4,26.0 ± 10.1,3.0 ± 3.4,—
MWS-CFE (Ours),Has-size,168433.0 ± 0.0,1745.8 ± 518.7,45.1 ± 5.7,5.6 ± 2.6,—
MWS-CFE (Ours),Location,131233.0 ± 0.0,763.4 ± 104.8,87.8 ± 18.8,1.4 ± 0.5,—
