Section,Variant,Source,Seeds,Density Stage 1 F1,Density Stage 1 AUPRC,Density Stage 2 Macro-F1,Has-size F1,Has-size AUPRC,Protocol Note
Core density ablation,Final two-stage density (P0 Stage 1 + G3 len128 Stage 2),stage1 planb_full; stage2 density_final_g3_len128,5,97.48 +/- 0.24,98.82 +/- 0.41,96.89 +/- 0.32,--,--,final full row for density
Core density ablation,Legacy G2 quality gate before selection,planb_full legacy aggregate / stage1 P0,5,97.48 +/- 0.24,98.82 +/- 0.41,91.05 +/- 0.54,--,--,shows effect of selecting G3+len128 for Stage 2
Core density ablation,Before P0 threshold tuning (legacy default decision layer),outputs/phaseA2_planB/tables/planb_main_table.csv,5,60.29 +/- 6.93,98.82 +/- 0.41,--,--,--,"legacy aggregate; diagnostic for P0 threshold tuning, not a final full ablation"
Core density ablation,w/o quality gate (G1 diagnostic),ab_wo_quality_gate,5,68.59 +/- 6.47,99.09 +/- 0.18,94.58 +/- 0.37,--,--,quality gate selection diagnostic
Core density ablation,w/o section-aware input,ab_wo_section,5,62.10 +/- 3.65,79.33 +/- 4.64,86.76 +/- 0.32,--,--,section-aware input ablation
Core density ablation,w/o confidence-aware training,ab_wo_confidence,5,78.63 +/- 5.93,98.81 +/- 0.30,90.70 +/- 0.77,--,--,confidence-aware training ablation
Has-size Wave5 component analysis,lexical alone,size_wave5_lexical_alone,5,--,--,--,90.58 +/- 0.00,95.93 +/- 0.00,5-seed learned lexical expert
Has-size Wave5 component analysis,lexical + BERT,size_wave5_lexical_bert_lr,1,--,--,--,92.09 +/- 0.00,96.63 +/- 0.00,diagnostic component analysis; seed42 only
Has-size Wave5 component analysis,lexical + cue,size_wave5_lexical_cue_lr,1,--,--,--,98.88 +/- 0.00,99.86 +/- 0.00,diagnostic component analysis; seed42 only
Has-size Wave5 component analysis,lexical + BERT + cue,size_wave5_lexical_bert_cue_lr,5,--,--,--,99.28 +/- 0.02,99.90 +/- 0.01,final 5-seed learned stacked head
