scope,dimension,label,count,fraction_within_scope,fraction_of_total
full_set,recommendation_level,insufficient_data,177,0.699605,0.699605
full_set,recommendation_level,routine_screening,58,0.229249,0.229249
full_set,recommendation_level,short_interval_followup,14,0.055336,0.055336
full_set,recommendation_level,tissue_sampling,4,0.015810,0.015810
full_set,lung_rads_category,2,58,0.229249,0.229249
full_set,lung_rads_category,3,8,0.031621,0.031621
full_set,lung_rads_category,4A,6,0.023715,0.023715
full_set,lung_rads_category,4B,4,0.015810,0.015810
full_set,lung_rads_category,None,177,0.699605,0.699605
full_set,risk_category,benign_or_indolent,58,0.229249,0.229249
full_set,risk_category,insufficient_data,177,0.699605,0.699605
full_set,risk_category,probably_benign,8,0.031621,0.031621
full_set,risk_category,suspicious,6,0.023715,0.023715
full_set,risk_category,very_suspicious,4,0.015810,0.015810
full_set,evidence_quality_overall,high,4,0.015810,0.015810
full_set,evidence_quality_overall,insufficient,177,0.699605,0.699605
full_set,evidence_quality_overall,medium,72,0.284585,0.284585
actionable_subset,recommendation_level,routine_screening,58,0.763158,0.229249
actionable_subset,recommendation_level,short_interval_followup,14,0.184211,0.055336
actionable_subset,recommendation_level,tissue_sampling,4,0.052632,0.015810
actionable_subset,lung_rads_category,2,58,0.763158,0.229249
actionable_subset,lung_rads_category,3,8,0.105263,0.031621
actionable_subset,lung_rads_category,4A,6,0.078947,0.023715
actionable_subset,lung_rads_category,4B,4,0.052632,0.015810
actionable_subset,risk_category,benign_or_indolent,58,0.763158,0.229249
actionable_subset,risk_category,probably_benign,8,0.105263,0.031621
actionable_subset,risk_category,suspicious,6,0.078947,0.023715
actionable_subset,risk_category,very_suspicious,4,0.052632,0.015810
actionable_subset,evidence_quality_overall,high,4,0.052632,0.015810
actionable_subset,evidence_quality_overall,medium,72,0.947368,0.284585
